Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
339,0.63,1.94,1.89,2.95,78573.03371,117255.8824,110182.9787,472000,
340,0.63,1.94,1.9,2.94,78573.03371,117255.8824,111557.1429,457333.3333,
341,0.62,1.95,1.9,2.93,77037.31343,118733.3333,111557.1429,443459.4595,
342,0.62,1.94,1.9,2.94,77037.31343,117255.8824,111557.1429,457333.3333,
343,0.63,1.94,1.9,2.95,78573.03371,117255.8824,111557.1429,472000,
344,0.63,1.94,1.89,2.95,78573.03371,117255.8824,110182.9787,472000,
345,0.62,1.95,1.89,2.95,77037.31343,118733.3333,110182.9787,472000,
346,0.63,1.94,1.88,2.94,78573.03371,117255.8824,108828.169,457333.3333,
347,0.63,1.95,1.89,2.95,78573.03371,118733.3333,110182.9787,472000,
348,0.63,1.96,1.9,2.95,78573.03371,120232.8358,111557.1429,472000,
349,0.63,1.96,1.9,2.93,78573.03371,120232.8358,111557.1429,443459.4595,
350,0.63,1.94,1.88,2.93,78573.03371,117255.8824,108828.169,443459.4595,
351,0.64,1.95,1.9,2.93,80120.30075,118733.3333,111557.1429,443459.4595,
352,0.63,1.96,1.88,2.95,78573.03371,120232.8358,108828.169,472000,
353,0.63,1.94,1.88,2.94,78573.03371,117255.8824,108828.169,457333.3333,
354,0.64,1.95,1.88,2.94,80120.30075,118733.3333,108828.169,457333.3333,
